#自用 无搬
自用源,#genre#
HD Music TV,http://91.247.68.229:8000/play/1HD/index.m3u8
3ABN 基督教,https://3abn-live.akamaized.net/hls/live/2010543/3ABN/master.m3u8
ABC Australia 标清,http://103.112.191.9:880/LAOSAT1093.m3u8
ABC News,http://41.205.93.154/ABC/index.m3u8
ABC News,https://content.uplynk.com/channel/3324f2467c414329b3b0cc5cd987b6be.m3u8
ABC News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV24.m3u8
ABC WEST,http://23.237.100.82:8000/ABC_WEST/manifest.m3u8
Accuweather 天气频道,https://accuweatherx-lg.amagi.tv/playlist.m3u8
Adventure Earth,https://autentic-adventure-earth-1-fi.lg.wurl.tv/playlist.m3u8
Africa News,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/africanews/afrnabren_eng.m3u8
Africa News,https://rakuten-africanews-1-no.samsung.wurl.com/manifest/eeb88fab4703f2644e2ca1e8308008c8.m3u8
Africa News,https://rakuten-africanews-1-gb.lg.wurl.tv/playlist.m3u8
AMC 电影,http://212.8.253.117/amc/index.m3u8
AMC 电影,http://146.59.85.40:89/amchd/mono.m3u8
AMC 电影,https://bcovlive-a.akamaihd.net/b3ed62003de946c896f4f541b908376e/us-east-1/6240731308001/playlist.m3u8
AMC 电影,http://50.7.137.106:8080/AMC/index.m3u8?token=test
AMC 电影,https://5def33c73f084e11a19ca77697d6b413.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Plex_AMCPresents/playlist.m3u8
AMC Thrillers,https://436f59579436473e8168284cac5d725f.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Plex_RushByAMC/playlist.m3u8
American Heroes Channel,http://23.237.104.26:8080/AHC/manifest.m3u8
American Horrors 电影,http://170.178.189.66:1935/live/Stream1/playlist.m3u8
Anger Management Channel,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00353-lionsgatestudio-angermanagement-lgus/playlist.m3u8
Animal Planet,http://50.7.237.7:8081/ANIMALPLANETHD/index.m3u8
Animal Planet [可选英语、俄语],http://45.159.74.14:80/AnimalPlanet/index.m3u8
Animal Planet,http://41.205.93.154/ANIMALPLANET/index.m3u8
Animal Planet,https://kusnadipepenk.github.io/ntn/animal.m3u8
Animal Planet,http://198.16.100.90:8278/AnimalPlanet/playlist.m3u8?tid=MD5D8455808984558089&ct=19254&tsum=899db3292c39fbba53680601a57ee552
Animal Planet 中字,http://50.7.238.114:8278/animalplanet_twn/playlist.m3u8?tid=ME1E7303496773034967&ct=19225&tsum=07b0edc521a4edcb7a00d7e943b8aa72
Animal Planet 中字,http://198.16.100.90:8278/AnimalPlanet/playlist.m3u8?tid=MC3C3856400538564005&ct=19225&tsum=6255ab9649411a8a70c7cbf2ebd7eb23
Animal Planet,http://151.248.16.100:4444/AnimalPlanet/index.m3u8
ANIPLUS 日本动漫,http://210.210.155.37/session/0b9dc5ac-a763-11ec-ad32-b82a72d63267/dr9445/h/h02/01.m3u8
ANN News 日本,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV48.m3u8
Arena Sport 4 欧洲体育,http://45.14.39.11:4445/Eurosport1HD/index.m3u8
Astro Awani,https://d2idp3hzkhjpih.cloudfront.net/out/v1/4b85d9c2bf97413eb0c9fd875599b837/index.m3u8
astro AWANI,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV27.m3u8
astro SUPERSPORT 2,http://198.16.100.90:8278/Assp2/playlist.m3u8?tid=ME1E4056565440565654&ct=19249&tsum=1bf59bebb8a43a859eae9f1b3759f844
astro SUPERSPORT 3,http://198.16.100.90:8278/Assp3/playlist.m3u8?tid=MB4B2552451125524511&ct=19249&tsum=f6cb45a995e37dfc7c40d515f29924e4
Arirang Korea,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang Korea,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV51.m3u8
AT-X 日本动漫,http://103.82.39.163:8080/AT-X/index.m3u8
AXN 新加坡,http://50.7.137.106:8080/AXN/index.m3u8?token=test
BBC 1,http://198.16.100.90:8278/bbc1_antik/playlist.m3u8?tid=MF5F6677034466770344&ct=19225&tsum=7620e8a88546352c525938a2dee63a56
BBC 1,http://198.16.100.90:8278/bbc1_antik/playlist.m3u8?tid=ME3E1183863811838638&ct=19254&tsum=0840dd585f58cedffd284559c0694b76
BBC America,https://bcovlive-a.akamaihd.net/c9bf201b06694453bb29282f97191f58/us-east-1/6240731308001/playlist.m3u8
BBC News,http://69.64.57.208:8080/bbcnews/playlist.m3u8
BBC News,http://23.237.104.26:8080/BBC_NEWS/playlist.m3u8
BBC News,ttp://190.171.101.36/BBC/tracks-v4a1/mono.m3u8
BBC News,https://vs-hls-push-ww.live.cf.md.bbci.co.uk/x=3/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_sd_abr_v2.m3u8
BBC World,http://213.254.12.7/BBCWorldNews/mono.m3u8
BBC World,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/index.m3u8
BBC World,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/Stream(02)/index.m3u8
Beautiful Planet,https://answermedia-beautiful-planet-1-eu.xiaomi.wurl.tv/playlist.m3u8
Billiard TV,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/billiard-tv/BILLIARDTV_SCTE.m3u8
beIN Sports 1,https://donelfantastic.github.io/creativemedia/intl/beinsport1EN.m3u8
beIN Sports 1,http://103.112.191.9:880/LAOSAT1052.m3u8
beIN Sports 2,http://103.112.191.9:880/LAOSAT1078.m3u8
beIN Sports XTRA,https://bein-xtra-bein.amagi.tv/playlist1080p.m3u8
Bloomberg TV,https://bloomberg.com/media-manifest/streams/us.m3u8
Bloomberg TV Asia,https://bloomberg.com/media-manifest/streams/asia-event.m3u8
Bloomberg TV Australia,https://www.bloomberg.com/media-manifest/streams/aus.m3u8
Boxing TV 拳击,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/boxing-tv/BOXINGTV_SCTE.m3u8
BRAVO,http://212.8.253.117/bravo/index.m3u8
BRAZZERS [18+],http://23.237.100.82:8000/BRAZZERS/index.m3u8
BS11 日本,http://194.233.72.249/BS11/index.m3u8
BT Sport 1,http://212.8.253.117/BTSport1HD/index.m3u8
Cartoon Network,http://89.254.128.5:22280/cartoon_network/video.m3u8
